vfid,RA,DEC,vr,radius,objname
VFID0167,176.16264,67.95585,2706.4,21.238373,UGC06714
VFID0168,182.96283,67.92864,2544.9,26.737528,UGC07195
VFID0169,205.27388,67.67214,3134,35.819645,NGC5283
VFID0170,202.07884,67.63164,991.9,30.557741,UGC08509
VFID0171,266.0618,67.619446,1462,32.44302,UGC10974
VFID0172,181.61865,67.490715,2325,11.197505,PGC3140980
VFID0173,186.07097,67.44,1315.3,19.147905,PGC040349
VFID0174,256.30142,67.419975,1109,11.725226,PGC059579
VFID0175,141.65263,67.41129,1830.7,45.34854,SDSSJ092636.62+672440.8
VFID0176,181.94847,67.38378,2325.7,19.593916,PGC038504
VFID0177,266.62335,67.33817,1462.9,27.486614,UGC10991
VFID0178,245.46024,67.293076,1001,31.558857,UGC10369
VFID0179,181.45699,67.25206,2266.7,38.38144,NGC4108A
VFID0180,180.34554,67.2454,2268.9,9.059855,PGC2697093
VFID0181,170.05156,67.24163,1302.2,37.421505,NGC3622
VFID0182,181.79819,67.23524,2671.2,39.91363,NGC4108B
VFID0183,181.68477,67.16285,2557.2,48.766464,NGC4108
VFID0184,184.48763,67.09666,1205,10.595495,SDSSJ121756.97+670547.7
VFID0185,181.3248,66.959816,2552.4,12.915798,PGC2693220
VFID0186,157.21906,66.8062,1133.1,37.335438,UGC05671
VFID0187,181.4446,66.74456,1423.8,21.04366,PGC038360
VFID0188,171.92165,66.58981,1522.6,67.007164,NGC3682
VFID0189,191.68419,66.465836,1446.5,7.432266,PGC2687514
VFID0190,188.00632,66.33261,2285.7,61.67672,NGC4513
VFID0191,181.66113,66.309586,1173.5,18.712046,SDSSJ120638.66+661834.3
VFID0192,204.01085,66.30252,3073.2,31.631607,UGC08604
VFID0193,142.8727,66.27465,870.64465,72.2668,
VFID0194,183.9995,66.230835,1315,55.478058,NGC4221
VFID0195,141.46553,66.16902,1691.1,25.069723,SDSSJ092551.72+661008.5
VFID0196,183.89235,66.13287,2742.1,14.392003,SDSSJ121534.18+660758.2
VFID0197,141.50618,66.129845,1245.9762,8.284407,
VFID0198,189.00955,66.10498,2260.2,16.000048,PGC2683704
VFID0199,162.24304,66.09463,3283.9,42.278664,UGC05907
VFID0200,162.64656,66.04512,1138.3,23.394903,SDSSJ105035.27+660242.6
VFID0201,185.8609,65.985374,2497.7,15.744224,PGC2682517
VFID0202,183.81601,65.98535,2711.1,58.09266,NGC4210
VFID0203,184.41673,65.97879,2282.8,12.1933,PGC2682454
VFID0204,185.23816,65.94789,2579.8,10.595495,SDSSJ122057.16+655652.5
VFID0205,177.4196,65.92903,1468.9,27.631245,SDSSJ114940.70+655544.6
VFID0206,184.67946,65.898285,2529.4,116.17729,NGC4256
VFID0207,184.66995,65.867,2775.2,14.89777,PGC213973
VFID0208,185.69485,65.84379,2764.7,59.172684,NGC4332
VFID0209,162.52296,65.83764,3245.6,11.725226,PGC3097669
VFID0210,184.20743,65.82991,2626.7,33.738148,PGC039359
VFID0211,162.76251,65.781555,3231.6,27.047134,NGC3392
VFID0212,171.36143,65.76863,1118.6,9.911086,PGC3140053
