t1_vfid,t1_ra,t1_dec,t1_vr,t1_radius,t1_objname,flux_g,flux_r,flux_w1,flux_w2,flux_w3,flux_w4,flux_z,dist_arcsec
VFID0154,159.37044,68.819496,1824.1,52.4954,UGC05765,1510.59,2306.4,1794.74,1068.7,2639.39,4310.54,3170.85,0.109491634531593
VFID0155,182.1348,68.76761,2336.6,66.24014,NGC4128,9931.55,19777.1,37334.7,19548.4,7181.51,4363.39,35959.6,0.178557562016064
VFID0156,146.55418,68.715324,1187,100,[CKT2009]D0946+68,7.39707,10.8893,-3.79718,-14.1219,-297.402,453.435,-1.09004,0.987409177127994
VFID0157,182.51624,68.69484,2450.9,3.7163897,SDSSJ121003.98+684141.9,104.86,149.475,77.5189,32.1913,39.1412,495.192,184.748,0.737356027332576
VFID0159,109.51783,68.3427,2660,100,PGC020611,1843.87,4010.91,4614.39,2499.6,553.227,-755.897,7069.78,0.418105310032653
VFID0159,109.51783,68.3427,2660,100,PGC020611,0,0,0,0,0,0,0,0.430276535295779
VFID0161,275.485,68.12878,2640.3,32.14558,UGC11222,1428.2,2098.51,1405.44,810.965,2242.3,5171.92,2729.15,0.929600679575743
VFID0161,275.485,68.12878,2640.3,32.14558,UGC11222,1552.45,2263.92,1460.56,843.063,2329.87,5540.77,2944.51,0.798214921579897
VFID0162,194.06665,68.112885,1878.6,12.59277,PGC2712133,195.659,327.094,232.42,129.15,173.168,-867.332,431.226,0.483130311643096
VFID0165,277.66586,67.98703,2584.6,56.379505,NGC6667,7190.17,16333.2,23303.3,13837.2,48250.5,6166.69,34746.9,0.856858819814556
VFID0166,108.97411,67.98383,1154.1,50.36412,UGC03749,1350.68,2395.43,2031.05,1105.4,1917.42,2799.32,3598.1,0.542901258250312
VFID0167,176.16264,67.95585,2706.4,21.238373,UGC06714,1397.14,3217.62,8221.59,5484.75,34489,109893,6259.14,0.373709721338676
VFID0169,205.27388,67.67214,3134,35.819645,NGC5283,3430.14,7289.85,10986.6,6754.96,11232.3,32140.9,12450.9,0.6882167523411
VFID0169,205.27388,67.67214,3134,35.819645,NGC5283,0,0,0,0,0,0,0,0.308483265885982
VFID0171,266.0618,67.619446,1462,32.44302,UGC10974,1222.04,2747.46,4388.08,2505.76,4867.93,5345.39,4248.96,0.526472547034065
VFID0171,266.0618,67.619446,1462,32.44302,UGC10974,0,0,0,0,0,0,0,0.43587089166708
VFID0171,266.0618,67.619446,1462,32.44302,UGC10974,0,0,0,0,0,0,0,0.43587089166708
VFID0171,266.0618,67.619446,1462,32.44302,UGC10974,320.939,727.59,2144.36,1286.13,2706.52,3481.38,503.537,0.354973310325807
VFID0172,181.61865,67.490715,2325,11.197505,PGC3140980,107.376,154.828,82.6396,41.4668,-20.4545,-3317.66,194.022,0.507648115763274
VFID0173,186.07097,67.44,1315.3,19.147905,PGC040349,0,0,0,0,0,0,0,0.248528563666762
VFID0173,186.07097,67.44,1315.3,19.147905,PGC040349,1153.75,2053.73,2501.36,1879.04,20769.4,112393,2949.81,0.274617828085275
VFID0174,256.30142,67.419975,1109,11.725226,PGC059579,5.97652,21.379,162.857,117.375,662.417,2299.52,27.9526,0.775542437635799
VFID0176,181.94847,67.38378,2325.7,19.593916,PGC038504,2543.86,4862.85,5633.37,3270.37,10248.6,52371.7,7416.55,0.0953543794574019
